"","dateCollected","TrapType","Species","Site","Sex","lat","lon","count"
"1",2019-07-15,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,10
"2",2019-07-16,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,13
"3",2019-07-17,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,15
"4",2019-07-18,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,17
"5",2019-07-19,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,19
"6",2019-07-20,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,24
"7",2019-07-21,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,29
"8",2019-07-22,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,35
"9",2019-07-23,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,41
"10",2019-07-24,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,53
"11",2019-07-25,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,64
"12",2019-07-26,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,77
"13",2019-07-27,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,96
"14",2019-07-28,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,113
"15",2019-07-29,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,126
"16",2019-07-30,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,152
"17",2019-07-31,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,189
"18",2019-08-01,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,213
"19",2019-08-02,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,240
"20",2019-08-03,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,290
"21",2019-08-04,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,365
"22",2019-08-05,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,461
"23",2019-08-06,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,514
"24",2019-08-07,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,570
"25",2019-08-08,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,628
"26",2019-08-09,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,699
"27",2019-08-10,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,838
"28",2019-08-11,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,979
"29",2019-08-12,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,1133
"30",2019-08-13,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,1307
"31",2019-08-14,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,1401
"32",2019-08-15,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,1501
"33",2019-08-16,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,1601
"34",2019-08-17,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,1787
"35",2019-08-18,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,1927
"36",2019-08-19,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2028
"37",2019-08-20,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2123
"38",2019-08-21,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2190
"39",2019-08-22,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2274
"40",2019-08-23,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2424
"41",2019-08-24,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2498
"42",2019-08-25,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2559
"43",2019-08-26,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2667
"44",2019-08-27,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2738
"45",2019-08-28,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2802
"46",2019-08-29,"Ovisposition","Culex pipiens","A1","Female",-77.032687999112,38.9441324371425,2834
